X	Targets	Model_pred
548	Glyma.02G285100	1
550	Glyma.02G288600	1
551	Glyma.02G289400	1
552	Glyma.02G290000	1
553	Glyma.02G290300	1
554	Glyma.02G290800	1
555	Glyma.02G292100	1
556	Glyma.02G293700	1
557	Glyma.02G294500	1
559	Glyma.02G296600	1
561	Glyma.02G297200	1
562	Glyma.02G299100	1
563	Glyma.02G299400	1
564	Glyma.02G299500	1
566	Glyma.02G300400	1
573	Glyma.02G305200	1
574	Glyma.02G305400	1
575	Glyma.02G305500	1
577	Glyma.02G307300	1
578	Glyma.02G309300	1
579	Glyma.02G309500	1
580	Glyma.02G311200	1
583	Glyma.03G001700	1
584	Glyma.03G002200	1
585	Glyma.03G003100	1
586	Glyma.03G003300	1
588	Glyma.03G005600	1
592	Glyma.03G007100	1
593	Glyma.03G009000	1
594	Glyma.03G009500	1
595	Glyma.03G012600	1
596	Glyma.03G013400	1
597	Glyma.03G015800	1
598	Glyma.03G015900	1
600	Glyma.03G017200	1
602	Glyma.03G019500	1
612	Glyma.03G034000	1
613	Glyma.03G035300	1
614	Glyma.03G036000	1
616	Glyma.03G037500	1
618	Glyma.03G040300	1
623	Glyma.03G041800	1
624	Glyma.03G041850	1
625	Glyma.03G042600	1
626	Glyma.03G042700	1
630	Glyma.03G045400	1
631	Glyma.03G050400	1
633	Glyma.03G054900	1
637	Glyma.03G057100	1
638	Glyma.03G058000	1
639	Glyma.03G060300	1
640	Glyma.03G063200	1
642	Glyma.03G063900	1
643	Glyma.03G066800	1
644	Glyma.03G068100	1
647	Glyma.03G073200	1
648	Glyma.03G073702	1
649	Glyma.03G073770	1
651	Glyma.03G073778	1
652	Glyma.03G074000	1
653	Glyma.03G074900	1
654	Glyma.03G076100	1
655	Glyma.03G076200	1
656	Glyma.03G079500	1
658	Glyma.03G082100	1
659	Glyma.03G083100	1
660	Glyma.03G083200	1
663	Glyma.03G086200	1
667	Glyma.03G090000	1
669	Glyma.03G092700	1
671	Glyma.03G097300	1
673	Glyma.03G098300	1
674	Glyma.03G098600	1
675	Glyma.03G098900	1
677	Glyma.03G099500	1
678	Glyma.03G101000	1
679	Glyma.03G102700	1
680	Glyma.03G102800	1
681	Glyma.03G103400	1
684	Glyma.03G107900	1
685	Glyma.03G108000	1
687	Glyma.03G109900	1
688	Glyma.03G110100	1
690	Glyma.03G114100	1
693	Glyma.03G119500	1
696	Glyma.03G122000	1
698	Glyma.03G124300	1
699	Glyma.03G125300	1
700	Glyma.03G125600	1
702	Glyma.03G126200	1
703	Glyma.03G127300	1
704	Glyma.03G127600	1
705	Glyma.03G128300	1
707	Glyma.03G130300	1
710	Glyma.03G131600	1
712	Glyma.03G133200	1
713	Glyma.03G134100	1
714	Glyma.03G134200	1
718	Glyma.03G136500	1
719	Glyma.03G137000	1
721	Glyma.03G137700	1
723	Glyma.03G138200	1
725	Glyma.03G141600	1
726	Glyma.03G142100	1
727	Glyma.03G142400	1
728	Glyma.03G142500	1
733	Glyma.03G146100	1
735	Glyma.03G147900	1
736	Glyma.03G148500	1
737	Glyma.03G149400	1
738	Glyma.03G150600	1
739	Glyma.03G151200	1
740	Glyma.03G152400	1
741	Glyma.03G154700	1
745	Glyma.03G157800	1
747	Glyma.03G159100	1
749	Glyma.03G160200	1
751	Glyma.03G160600	1
752	Glyma.03G161600	1
753	Glyma.03G162600	1
754	Glyma.03G162800	1
755	Glyma.03G163100	1
756	Glyma.03G164300	1
764	Glyma.03G169500	1
765	Glyma.03G170300	1
767	Glyma.03G171600	1
769	Glyma.03G173100	1
771	Glyma.03G173300	1
772	Glyma.03G175100	1
774	Glyma.03G176800	1
775	Glyma.03G177600	1
776	Glyma.03G178100	1
777	Glyma.03G180100	1
778	Glyma.03G181700	1
780	Glyma.03G182500	1
781	Glyma.03G182800	1
783	Glyma.03G183400	1
785	Glyma.03G185900	1
787	Glyma.03G186300	1
788	Glyma.03G186500	1
789	Glyma.03G187500	1
790	Glyma.03G187700	1
791	Glyma.03G188000	1
793	Glyma.03G189600	1
795	Glyma.03G191300	1
797	Glyma.03G192900	1
800	Glyma.03G194000	1
801	Glyma.03G194800	1
802	Glyma.03G195300	1
803	Glyma.03G195700	1
804	Glyma.03G196500	1
805	Glyma.03G196900	1
806	Glyma.03G197000	1
807	Glyma.03G198500	1
808	Glyma.03G199500	1
811	Glyma.03G201500	1
812	Glyma.03G201600	1
813	Glyma.03G201700	1
814	Glyma.03G202000	1
815	Glyma.03G202400	1
816	Glyma.03G202600	1
818	Glyma.03G205000	1
819	Glyma.03G206400	1
820	Glyma.03G207100	1
825	Glyma.03G215300	1
828	Glyma.03G216000	1
829	Glyma.03G216400	1
830	Glyma.03G216700	1
831	Glyma.03G217100	1
832	Glyma.03G218600	1
833	Glyma.03G219400	1
835	Glyma.03G221700	1
838	Glyma.03G224400	1
839	Glyma.03G224700	1
840	Glyma.03G225300	1
842	Glyma.03G226600	1
844	Glyma.03G228900	1
845	Glyma.03G230000	1
846	Glyma.03G230300	1
847	Glyma.03G231600	1
848	Glyma.03G231700	1
850	Glyma.03G232400	1
851	Glyma.03G232600	1
853	Glyma.03G234800	1
854	Glyma.03G234900	1
855	Glyma.03G236300	1
856	Glyma.03G239900	1
860	Glyma.03G246700	1
864	Glyma.03G248600	1
866	Glyma.03G250600	1
867	Glyma.03G253200	1
868	Glyma.03G253600	1
869	Glyma.03G255000	1
870	Glyma.03G256200	1
871	Glyma.03G256500	1
873	Glyma.03G258900	1
876	Glyma.03G259400	1
877	Glyma.03G260100	1
878	Glyma.03G261500	1
880	Glyma.03G262300	1
882	Glyma.03G262750	1
887	Glyma.U031105::	1
888	Glyma.U031505::	1
890	Glyma.04G001800	1
891	Glyma.04G001900	1
892	Glyma.04G002200	1
894	Glyma.04G002400	1
898	Glyma.04G004250	1
903	Glyma.04G008300	1
904	Glyma.04G008567	1
905	Glyma.04G008633	1
907	Glyma.04G009400	1
908	Glyma.04G010300	1
909	Glyma.04G011900	1
911	Glyma.04G012800	1
913	Glyma.04G014500	1
914	Glyma.04G015400	1
916	Glyma.04G015900	1
918	Glyma.04G017700	1
919	Glyma.04G018900	1
923	Glyma.04G020700	1
924	Glyma.04G021300	1
927	Glyma.04G023800	1
928	Glyma.04G023900	1
929	Glyma.04G025400	1
930	Glyma.04G026500	1
933	Glyma.04G032800	1
934	Glyma.04G033700	1
935	Glyma.04G034000	1
936	Glyma.04G035900	1
939	Glyma.04G036300	1
943	Glyma.04G039300	1
944	Glyma.04G039400	1
946	Glyma.04G040000	1
947	Glyma.04G040400	1
949	Glyma.04G042900	1
950	Glyma.04G044900	1
951	Glyma.04G045000	1
953	Glyma.04G046100	1
955	Glyma.04G050000	1
956	Glyma.04G050400	1
957	Glyma.04G050700	1
958	Glyma.04G051600	1
963	Glyma.04G055300	1
964	Glyma.04G055900	1
965	Glyma.04G058100	1
967	Glyma.04G060000	1
972	Glyma.04G065000	1
973	Glyma.04G065800	1
974	Glyma.04G066000	1
975	Glyma.04G066900	1
977	Glyma.04G068800	1
978	Glyma.04G069200	1
980	Glyma.04G074200	1
987	Glyma.04G080300	1
989	Glyma.04G086300	1
990	Glyma.04G088000	1
992	Glyma.04G089600	1
993	Glyma.04G089900	1
996	Glyma.04G091600	1
997	Glyma.04G092100	1
998	Glyma.04G092400	1
999	Glyma.04G092600	1
1000	Glyma.04G094232	1
1001	Glyma.04G095300	1
1003	Glyma.04G099000	1
1004	Glyma.04G099100	1
1005	Glyma.04G099200	1
1006	Glyma.04G100300	1
1007	Glyma.04G100400	1
1009	Glyma.04G103000	1
1010	Glyma.04G103100	1
1011	Glyma.04G103400	1
1012	Glyma.04G104600	1
1013	Glyma.04G104900	1
1014	Glyma.04G110400	1
1015	Glyma.04G112800	1
1016	Glyma.04G113400	1
1018	Glyma.04G114100	1
1019	Glyma.04G115700	1
1020	Glyma.04G117800	1
1021	Glyma.04G118700	1
1024	Glyma.04G121700	1
1025	Glyma.04G123700	1
1026	Glyma.04G124500	1
1028	Glyma.04G129200	1
1031	Glyma.04G132400	1
1033	Glyma.04G133400	1
1035	Glyma.04G134700	1
1037	Glyma.04G137000	1
1038	Glyma.04G137200	1
1041	Glyma.04G141400	1
1042	Glyma.04G145400	1
1043	Glyma.04G145700	1
1044	Glyma.04G149300	1
1046	Glyma.04G154500	1
1047	Glyma.04G156200	1
1051	Glyma.04G165200	1
1052	Glyma.04G165400	1
1053	Glyma.04G167900	1
1054	Glyma.04G169600	1
1055	Glyma.04G169900	1
1056	Glyma.04G171300	1
1057	Glyma.04G171700	1
1058	Glyma.04G173100	1
1059	Glyma.04G173500	1
1062	Glyma.04G176900	1
1063	Glyma.04G177600	1
1067	Glyma.04G181900	1
1068	Glyma.04G182600	1
1070	Glyma.04G185800	1
1071	Glyma.04G188700	1
1074	Glyma.04G191700	1
1075	Glyma.04G191900	1
1076	Glyma.04G192200	1
1078	Glyma.04G198100	1
1079	Glyma.04G200700	1
1080	Glyma.04G200900	1
1083	Glyma.04G207200	1
1084	Glyma.04G208300	1
1085	Glyma.04G209200	1
1086	Glyma.04G209600	1
1090	Glyma.04G212300	1
1091	Glyma.04G215400	1
1093	Glyma.04G217400	1
1094	Glyma.04G217600	1
1097	Glyma.04G220000	1
1099	Glyma.04G220800	1
1101	Glyma.04G222300	1
1102	Glyma.04G222400	1
1109	Glyma.04G230400	1
1111	Glyma.04G232400	1
1115	Glyma.04G240100	1
1116	Glyma.04G240800	1
1118	Glyma.04G242300	1
1119	Glyma.04G242400	1
1121	Glyma.04G243800	1
1123	Glyma.04G245900	1
1124	Glyma.04G247600	1
1125	Glyma.04G248100	1
1127	Glyma.04G249000	1
1131	Glyma.04G253300	1
1132	Glyma.04G253900	1
1134	Glyma.04G255100	1
1135	Glyma.05G000700	1
1138	Glyma.05G002600	1
1139	Glyma.05G003200	1
1140	Glyma.05G003900	1
1141	Glyma.05G006300	1
1142	Glyma.05G006600	1
1143	Glyma.05G007100	1
1144	Glyma.05G007200	1
1145	Glyma.05G008400	1
1146	Glyma.05G010450	1
1150	Glyma.05G017500	1
1154	Glyma.05G021500	1
1158	Glyma.05G022500	1
1160	Glyma.05G022900	1
1161	Glyma.05G025300	1
1162	Glyma.05G026200	1
1164	Glyma.05G027700	1
1165	Glyma.05G028600	1
1166	Glyma.05G029200	1
1167	Glyma.05G030100	1
1168	Glyma.05G030600	1
1170	Glyma.05G031900	1
1175	Glyma.05G034800	1
1177	Glyma.05G036900	1
1178	Glyma.05G037400	1
1179	Glyma.05G037500	1
1180	Glyma.05G037700	1
1181	Glyma.05G038000	1
1182	Glyma.05G038800	1
1183	Glyma.05G039800	1
1188	Glyma.05G043200	1
1189	Glyma.05G045300	1
1191	Glyma.05G046400	1
1192	Glyma.05G046900	1
1195	Glyma.05G050100	1
1197	Glyma.05G051700	1
1198	Glyma.05G052500	1
1200	Glyma.05G052900	1
1201	Glyma.05G055100	1
1202	Glyma.05G055200	1
1204	Glyma.05G057800	1
1205	Glyma.05G058000	1
1206	Glyma.05G058100	1
1208	Glyma.05G058900	1
1210	Glyma.05G060100	1
1217	Glyma.05G066100	1
1219	Glyma.05G067800	1
1221	Glyma.05G072300	1
1223	Glyma.05G076600	1
1224	Glyma.05G079100	1
1226	Glyma.05G080400	1
1227	Glyma.05G082200	1
1228	Glyma.05G083600	1
1229	Glyma.05G085000	1
1230	Glyma.05G085200	1
1231	Glyma.05G085400	1
1232	Glyma.05G093000	1
1233	Glyma.05G096000	1
1234	Glyma.05G096500	1
1236	Glyma.05G097100	1
1237	Glyma.05G097300	1
1238	Glyma.05G098200	1
1240	Glyma.05G100400	1
1241	Glyma.05G101300	1
1242	Glyma.05G103300	1
1243	Glyma.05G103600	1
1246	Glyma.05G105000	1
1249	Glyma.05G107500	1
1250	Glyma.05G108400	1
1251	Glyma.05G110200	1
1255	Glyma.05G116800	1
1257	Glyma.05G118500	1
1259	Glyma.05G120100	1
1265	Glyma.05G126900	1
1271	Glyma.05G129200	1
1272	Glyma.05G130400	1
1274	Glyma.05G130600	1
1275	Glyma.05G131800	1
1277	Glyma.05G132200	1
1278	Glyma.05G133000	1
1279	Glyma.05G133700	1
1280	Glyma.05G134500	1
1281	Glyma.05G135200	1
1284	Glyma.05G139900	1
1285	Glyma.05G140600	1
1286	Glyma.05G141000	1
1288	Glyma.05G145000	1
1290	Glyma.05G146000	1
1292	Glyma.05G147000	1
1294	Glyma.05G147200	1
1295	Glyma.05G147700	1
1296	Glyma.05G149900	1
1298	Glyma.05G151800	1
1300	Glyma.05G152300	1
1301	Glyma.05G154600	1
1304	Glyma.05G155300	1
1305	Glyma.05G155700	1
1306	Glyma.05G156300	1
1308	Glyma.05G157000	1
1310	Glyma.05G158800	1
1312	Glyma.05G160800	1
1313	Glyma.05G161000	1
1314	Glyma.05G161100	1
1316	Glyma.05G161400	1
1318	Glyma.05G162100	1
1319	Glyma.05G162600	1
1321	Glyma.05G166900	1
1322	Glyma.05G167100	1
1325	Glyma.05G168400	1
1327	Glyma.05G168900	1
1328	Glyma.05G169200	1
1330	Glyma.05G172300	1
1331	Glyma.05G173100	1
1333	Glyma.05G174200	1
1334	Glyma.05G175400	1
1335	Glyma.05G175600	1
1336	Glyma.05G175800	1
1338	Glyma.05G176400	1
1339	Glyma.05G177000	1
1341	Glyma.05G178200	1
1344	Glyma.05G181600	1
1346	Glyma.05G183100	1
1347	Glyma.05G183600	1
1352	Glyma.05G191900	1
1354	Glyma.05G193200	1
1357	Glyma.05G195000	1
1358	Glyma.05G195400	1
1359	Glyma.05G195900	1
1360	Glyma.05G196700	1
1361	Glyma.05G196900	1
1363	Glyma.05G197400	1
1366	Glyma.05G200200	1
1367	Glyma.05G201300	1
1369	Glyma.05G202700	1
1374	Glyma.05G207400	1
1375	Glyma.05G207600	1
1376	Glyma.05G208400	1
1378	Glyma.05G209000	1
1379	Glyma.05G209100	1
1380	Glyma.05G209600	1
1381	Glyma.05G210400	1
1384	Glyma.05G213300	1
1385	Glyma.05G214300	1
1387	Glyma.05G215900	1
1388	Glyma.05G216000	1
1389	Glyma.05G216100	1
1392	Glyma.05G219500	1
1393	Glyma.05G221300	1
1397	Glyma.05G222800	1
1400	Glyma.05G226000	1
1404	Glyma.05G231500	1
1411	Glyma.05G236600	1
1412	Glyma.05G237100	1
1414	Glyma.05G237400	1
1418	Glyma.05G240700	1
1419	Glyma.05G241100	1
1421	Glyma.05G242600	1
1422	Glyma.05G243200	1
1423	Glyma.05G243300	1
1424	Glyma.05G243400	1
1425	Glyma.05G244200	1
1427	Glyma.05G245300	1
1428	Glyma.05G245600	1
1431	Glyma.06G001100	1
1434	Glyma.06G005600	1
1437	Glyma.06G010200	1
1442	Glyma.06G012900	1
1443	Glyma.06G013300	1
1444	Glyma.06G013400	1
1446	Glyma.06G015000	1
1448	Glyma.06G018400	1
1449	Glyma.06G018500	1
1451	Glyma.06G020800	1
1453	Glyma.06G024000	1
1455	Glyma.06G025600	1
1456	Glyma.06G027100	1
1457	Glyma.06G027700	1
1458	Glyma.06G029900	1
1459	Glyma.06G030500	1
1460	Glyma.06G030700	1
1461	Glyma.06G032100	1
1463	Glyma.06G035300	1
1465	Glyma.06G036400	1
1466	Glyma.06G036700	1
1468	Glyma.06G038000	1
1471	Glyma.06G041300	1
1472	Glyma.06G042300	1
1474	Glyma.06G043400	1
1476	Glyma.06G045400	1
1477	Glyma.06G047600	1
1481	Glyma.06G054200	1
1483	Glyma.06G055500	1
1484	Glyma.06G055900	1
1485	Glyma.06G059500	1
1487	Glyma.06G061900	1
1488	Glyma.06G065800	1
1490	Glyma.06G067000	1
1491	Glyma.06G067400	1
1492	Glyma.06G068100	1
1493	Glyma.06G069500	1
1494	Glyma.06G070600	1
1497	Glyma.06G073000	1
1500	Glyma.06G075300	1
1501	Glyma.06G076100	1
1504	Glyma.06G080100	1
1505	Glyma.06G082000	1
1506	Glyma.06G082100	1
1507	Glyma.06G082200	1
1509	Glyma.06G083600	1
1511	Glyma.06G089000	1
1512	Glyma.06G090700	1
1513	Glyma.06G090800	1
1514	Glyma.06G091700	1
1515	Glyma.06G097600	1
1518	Glyma.06G102000	1
1523	Glyma.06G104800	1
1524	Glyma.06G105600	1
1525	Glyma.06G105700	1
1526	Glyma.06G105900	1
1527	Glyma.06G106100	1
1528	Glyma.06G107200	1
1530	Glyma.06G108100	1
1532	Glyma.06G110400	1
1536	Glyma.06G111400	1
1540	Glyma.06G114200	1
1550	Glyma.06G119300	1
1551	Glyma.06G119400	1
1552	Glyma.06G119500	1
1553	Glyma.06G119700	1
1554	Glyma.06G121000	1
1555	Glyma.06G121400	1
1556	Glyma.06G122400	1
1557	Glyma.06G122600	1
1561	Glyma.06G124800	1
1562	Glyma.06G125200	1
1563	Glyma.06G125300	1
1564	Glyma.06G125600	1
1565	Glyma.06G126100	1
1569	Glyma.06G130900	1
1570	Glyma.06G131300	1
1573	Glyma.06G132600	1
1575	Glyma.06G133300	1
1576	Glyma.06G133700	1
1579	Glyma.06G139500	1
1580	Glyma.06G140000	1
1581	Glyma.06G140300	1
1582	Glyma.06G141100	1
1586	Glyma.06G141600	1
1591	Glyma.06G144100	1
1592	Glyma.06G145100	1
1593	Glyma.06G145300	1
1594	Glyma.06G145800	1
1599	Glyma.06G149900	1
1601	Glyma.06G150300	1
1602	Glyma.06G152500	1
1604	Glyma.06G153600	1
1607	Glyma.06G158200	1
1609	Glyma.06G159800	1
1612	Glyma.06G162400	1
1613	Glyma.06G162700	1
1614	Glyma.06G163700	1
1615	Glyma.06G164300	1
1616	Glyma.06G164800	1
1617	Glyma.06G166200	1
1618	Glyma.06G166700	1
1621	Glyma.06G169100	1
1622	Glyma.06G169400	1
1623	Glyma.06G169700	1
1624	Glyma.06G170100	1
1625	Glyma.06G170800	1
1631	Glyma.06G175100	1
1632	Glyma.06G176900	1
1633	Glyma.06G178300	1
1634	Glyma.06G182200	1
1637	Glyma.06G184200	1
1639	Glyma.06G184800	1
1640	Glyma.06G186200	1
1641	Glyma.06G186300	1
1644	Glyma.06G187400	1
1645	Glyma.06G188900	1
1646	Glyma.06G189400	1
1647	Glyma.06G189500	1
1649	Glyma.06G189900	1
1650	Glyma.06G190200	1
1653	Glyma.06G191200	1
1654	Glyma.06G191300	1
1655	Glyma.06G191400	1
1659	Glyma.06G196400	1
1660	Glyma.06G197600	1
1664	Glyma.06G202300	1
1665	Glyma.06G204200	1
1667	Glyma.06G209100	1
1668	Glyma.06G211600	1
1670	Glyma.06G214700	1
1674	Glyma.06G221400	1
1676	Glyma.06G222000	1
1677	Glyma.06G223700	1
1678	Glyma.06G226700	1
1680	Glyma.06G242800	1
1681	Glyma.06G242900	1
1683	Glyma.06G245200	1
1685	Glyma.06G249300	1
1687	Glyma.06G257702	1
1688	Glyma.06G258000	1
1689	Glyma.06G258200	1
1690	Glyma.06G258500	1
1692	Glyma.06G259400	1
1693	Glyma.06G259800	1
1696	Glyma.06G260200	1
1698	Glyma.06G262000	1
1699	Glyma.06G262700	1
1700	Glyma.06G263200	1
1702	Glyma.06G265500	1
