,tgenes,indexarray
52,Glyma.01G038600::Gm01:4120855-4122855,1700
53,Glyma.01G038700::Gm01:4148123-4150123,1600
54,Glyma.01G038700::Gm01:4148123-4150123,1700
55,Glyma.01G044100::Gm01:4835021-4837021,1300
56,Glyma.01G049100::Gm01:5705765-5707765,600
57,Glyma.01G049100::Gm01:5705765-5707765,700
58,Glyma.01G049100::Gm01:5705765-5707765,1000
59,Glyma.01G049100::Gm01:5705765-5707765,1300
60,Glyma.01G049100::Gm01:5705765-5707765,1400
61,Glyma.01G054200::Gm01:6961920-6963920,900
62,Glyma.01G054200::Gm01:6961920-6963920,1200
63,Glyma.01G054200::Gm01:6961920-6963920,1300
64,Glyma.01G054200::Gm01:6961920-6963920,1400
65,Glyma.01G056100::Gm01:7217297-7219297,1400
66,Glyma.01G056100::Gm01:7217297-7219297,1500
67,Glyma.01G057400::Gm01:7555224-7557224,1000
68,Glyma.01G057400::Gm01:7555224-7557224,1400
69,Glyma.01G057400::Gm01:7555224-7557224,1600
70,Glyma.01G057400::Gm01:7555224-7557224,1700
71,Glyma.01G057500::Gm01:7570960-7572960,1300
72,Glyma.01G057500::Gm01:7570960-7572960,1400
73,Glyma.01G057500::Gm01:7570960-7572960,1700
74,Glyma.01G058300::Gm01:7654920-7656920,1700
75,Glyma.01G061800::Gm01:8511881-8513881,900
76,Glyma.01G061800::Gm01:8511881-8513881,1500
77,Glyma.01G061800::Gm01:8511881-8513881,1600
78,Glyma.01G062000::Gm01:8598415-8600415,1000
79,Glyma.01G062000::Gm01:8598415-8600415,1700
80,Glyma.01G062600::Gm01:8771550-8773550,300
81,Glyma.01G063000::Gm01:8901515-8903515,1000
82,Glyma.01G063000::Gm01:8901515-8903515,1100
83,Glyma.01G071300::Gm01:12884068-12886068,1600
84,Glyma.01G071300::Gm01:12884068-12886068,1700
85,Glyma.01G074500::Gm01:14142044-14144044,900
86,Glyma.01G074500::Gm01:14142044-14144044,1600
87,Glyma.01G074500::Gm01:14142044-14144044,1700
88,Glyma.01G076100::Gm01:17604122-17606122,1600
89,Glyma.01G077100::Gm01:18866266-18868266,1300
90,Glyma.01G077100::Gm01:18866266-18868266,1400
91,Glyma.01G077100::Gm01:18866266-18868266,1500
92,Glyma.01G077100::Gm01:18866266-18868266,1600
93,Glyma.01G078400::Gm01:20237405-20239405,1400
94,Glyma.01G078400::Gm01:20237405-20239405,1500
95,Glyma.01G078400::Gm01:20237405-20239405,1600
96,Glyma.01G078400::Gm01:20237405-20239405,1700
97,Glyma.01G078800::Gm01:20713756-20715756,1200
98,Glyma.01G078800::Gm01:20713756-20715756,1300
99,Glyma.01G082802::Gm01:24167357-24169357,0
100,Glyma.01G084500::Gm01:24895736-24897736,1100
101,Glyma.01G084500::Gm01:24895736-24897736,1700
102,Glyma.01G091400::Gm01:27678607-27680607,100
103,Glyma.01G091400::Gm01:27678607-27680607,200
104,Glyma.01G092900::Gm01:28097277-28099277,1400
105,Glyma.01G092900::Gm01:28097277-28099277,1500
106,Glyma.01G092900::Gm01:28097277-28099277,1600
107,Glyma.01G092900::Gm01:28097277-28099277,1700
108,Glyma.01G096800::Gm01:32102458-32104458,1000
109,Glyma.01G096800::Gm01:32102458-32104458,1100
110,Glyma.01G096800::Gm01:32102458-32104458,1400
111,Glyma.01G097400::Gm01:32610263-32612263,400
112,Glyma.01G097400::Gm01:32610263-32612263,500
113,Glyma.01G098000::Gm01:33152555-33154555,1200
114,Glyma.01G102600::Gm01:34745885-34747885,1700
115,Glyma.01G106000::Gm01:36391242-36393242,900
116,Glyma.01G106000::Gm01:36391242-36393242,1000
117,Glyma.01G106000::Gm01:36391242-36393242,1100
118,Glyma.01G106200::Gm01:36452634-36454634,400
119,Glyma.01G107951::Gm01:37381763-37383763,1600
120,Glyma.01G107951::Gm01:37381763-37383763,1700
121,Glyma.01G108200::Gm01:37482816-37484816,200
122,Glyma.01G108200::Gm01:37482816-37484816,300
123,Glyma.01G108200::Gm01:37482816-37484816,700
124,Glyma.01G108200::Gm01:37482816-37484816,800
125,Glyma.01G109200::Gm01:37759453-37761453,200
126,Glyma.01G112900::Gm01:39136664-39138664,100
127,Glyma.01G112900::Gm01:39136664-39138664,200
128,Glyma.01G114400::Gm01:40116016-40118016,1600
129,Glyma.01G114400::Gm01:40116016-40118016,1700
130,Glyma.01G115500::Gm01:40512362-40514362,0
131,Glyma.01G115500::Gm01:40512362-40514362,100
132,Glyma.01G115500::Gm01:40512362-40514362,200
133,Glyma.01G115500::Gm01:40512362-40514362,300
134,Glyma.01G115500::Gm01:40512362-40514362,1300
135,Glyma.01G117900::Gm01:41194157-41196157,1600
136,Glyma.01G117900::Gm01:41194157-41196157,1700
137,Glyma.01G119300::Gm01:41526423-41528423,0
138,Glyma.01G119300::Gm01:41526423-41528423,100
139,Glyma.01G119300::Gm01:41526423-41528423,200
140,Glyma.01G119300::Gm01:41526423-41528423,800
141,Glyma.01G119300::Gm01:41526423-41528423,900
142,Glyma.01G119300::Gm01:41526423-41528423,1000
143,Glyma.01G119300::Gm01:41526423-41528423,1100
144,Glyma.01G124700::Gm01:44110544-44112544,1700
145,Glyma.01G128100::Gm01:45121122-45123122,900
146,Glyma.01G131500::Gm01:45893152-45895152,1000
147,Glyma.01G134600::Gm01:46723818-46725818,1100
148,Glyma.01G135200::Gm01:46806740-46808740,300
149,Glyma.01G135200::Gm01:46806740-46808740,400
150,Glyma.01G139500::Gm01:47832540-47834540,100
151,Glyma.01G139600::Gm01:47839314-47841314,1000
152,Glyma.01G139600::Gm01:47839314-47841314,1600
153,Glyma.01G139600::Gm01:47839314-47841314,1700
154,Glyma.01G141900::Gm01:48504266-48506266,1000
155,Glyma.01G144900::Gm01:49060699-49062699,1000
156,Glyma.01G144900::Gm01:49060699-49062699,1100
157,Glyma.01G144900::Gm01:49060699-49062699,1200
158,Glyma.01G147700::Gm01:49586912-49588912,1300
159,Glyma.01G147700::Gm01:49586912-49588912,1400
160,Glyma.01G147700::Gm01:49586912-49588912,1700
161,Glyma.01G149000::Gm01:49708576-49710576,1600
162,Glyma.01G153000::Gm01:50122817-50124817,1300
163,Glyma.01G153300::Gm01:50155098-50157098,1400
164,Glyma.01G153300::Gm01:50155098-50157098,1500
165,Glyma.01G154400::Gm01:50269727-50271727,1300
166,Glyma.01G154450::Gm01:50302280-50304280,200
167,Glyma.01G154450::Gm01:50302280-50304280,1100
168,Glyma.01G154450::Gm01:50302280-50304280,1200
169,Glyma.01G163000::Gm01:51194936-51196936,1600
170,Glyma.01G164000::Gm01:51261203-51263203,1400
171,Glyma.01G164000::Gm01:51261203-51263203,1700
172,Glyma.01G164300::Gm01:51295600-51297600,400
173,Glyma.01G164300::Gm01:51295600-51297600,800
174,Glyma.01G164300::Gm01:51295600-51297600,900
175,Glyma.01G165400::Gm01:51391667-51393667,1200
176,Glyma.01G165400::Gm01:51391667-51393667,1300
177,Glyma.01G168200::Gm01:51690329-51692329,900
178,Glyma.01G168200::Gm01:51690329-51692329,1200
179,Glyma.01G169500::Gm01:51809275-51811275,100
180,Glyma.01G169500::Gm01:51809275-51811275,200
181,Glyma.01G169500::Gm01:51809275-51811275,1000
182,Glyma.01G170600::Gm01:51890643-51892643,1700
183,Glyma.01G172600::Gm01:52089028-52091028,1000
184,Glyma.01G172900::Gm01:52131271-52133271,1000
185,Glyma.01G173300::Gm01:52151713-52153713,500
186,Glyma.01G174102::Gm01:52213232-52215232,0
187,Glyma.01G174102::Gm01:52213232-52215232,1400
188,Glyma.01G176400::Gm01:52396692-52398692,1000
189,Glyma.01G176600::Gm01:52441660-52443660,1600
190,Glyma.01G177700::Gm01:52525320-52527320,1400
191,Glyma.01G177700::Gm01:52525320-52527320,1500
192,Glyma.01G179600::Gm01:52653739-52655739,200
193,Glyma.01G180100::Gm01:52743151-52745151,1500
194,Glyma.01G180100::Gm01:52743151-52745151,1600
195,Glyma.01G180100::Gm01:52743151-52745151,1700
196,Glyma.01G180432::Gm01:52780277-52782277,1000
197,Glyma.01G180432::Gm01:52780277-52782277,1100
198,Glyma.01G182400::Gm01:52912112-52914112,800
199,Glyma.01G182400::Gm01:52912112-52914112,1500
200,Glyma.01G182400::Gm01:52912112-52914112,1600
201,Glyma.01G182400::Gm01:52912112-52914112,1700
202,Glyma.01G183300::Gm01:52965761-52967761,600
203,Glyma.01G185800::Gm01:53226421-53228421,1100
204,Glyma.01G185800::Gm01:53226421-53228421,1200
205,Glyma.01G187800::Gm01:53402585-53404585,1000
206,Glyma.01G187800::Gm01:53402585-53404585,1100
207,Glyma.01G189100::Gm01:53531166-53533166,500
208,Glyma.01G190900::Gm01:53667866-53669866,0
209,Glyma.01G190900::Gm01:53667866-53669866,100
210,Glyma.01G190900::Gm01:53667866-53669866,1300
211,Glyma.01G190900::Gm01:53667866-53669866,1400
212,Glyma.01G191600::Gm01:53726868-53728868,400
213,Glyma.01G191600::Gm01:53726868-53728868,500
214,Glyma.01G193600::Gm01:53925852-53927852,0
215,Glyma.01G193600::Gm01:53925852-53927852,100
216,Glyma.01G194700::Gm01:53996792-53998792,1100
217,Glyma.01G194700::Gm01:53996792-53998792,1700
218,Glyma.01G195000::Gm01:54032436-54034436,0
219,Glyma.01G195000::Gm01:54032436-54034436,1200
220,Glyma.01G195300::Gm01:54063709-54065709,1200
221,Glyma.01G195300::Gm01:54063709-54065709,1300
222,Glyma.01G196600::Gm01:54198237-54200237,1700
223,Glyma.01G197500::Gm01:54255734-54257734,0
224,Glyma.01G198300::Gm01:54329792-54331792,1700
225,Glyma.01G199700::Gm01:54459483-54461483,1000
226,Glyma.01G199700::Gm01:54459483-54461483,1100
227,Glyma.01G199700::Gm01:54459483-54461483,1200
228,Glyma.01G202100::Gm01:54613108-54615108,700
229,Glyma.01G205200::Gm01:54890245-54892245,1500
230,Glyma.01G205400::Gm01:54902892-54904892,1500
231,Glyma.01G206700::Gm01:55000836-55002836,300
232,Glyma.01G210400::Gm01:55282285-55284285,1000
233,Glyma.01G210400::Gm01:55282285-55284285,1100
234,Glyma.01G212100::Gm01:55464256-55466256,100
235,Glyma.01G212100::Gm01:55464256-55466256,200
236,Glyma.01G212100::Gm01:55464256-55466256,1000
237,Glyma.01G212100::Gm01:55464256-55466256,1100
238,Glyma.01G212100::Gm01:55464256-55466256,1200
239,Glyma.01G212100::Gm01:55464256-55466256,1300
240,Glyma.01G215100::Gm01:55677781-55679781,1000
241,Glyma.01G215100::Gm01:55677781-55679781,1100
242,Glyma.01G215100::Gm01:55677781-55679781,1700
243,Glyma.01G215400::Gm01:55699720-55701720,0
244,Glyma.01G215400::Gm01:55699720-55701720,100
245,Glyma.01G215400::Gm01:55699720-55701720,200
246,Glyma.01G215400::Gm01:55699720-55701720,300
247,Glyma.01G217200::Gm01:55849504-55851504,1600
248,Glyma.01G217400::Gm01:55868684-55870684,1600
249,Glyma.01G217600::Gm01:55879568-55881568,1600
250,Glyma.01G217700::Gm01:55883554-55885554,500
251,Glyma.01G217700::Gm01:55883554-55885554,600
252,Glyma.01G219400::Gm01:55997388-55999388,1100
253,Glyma.01G219502::Gm01:55999438-56001438,1500
254,Glyma.01G219502::Gm01:55999438-56001438,1600
255,Glyma.01G221200::Gm01:56121954-56123954,100
256,Glyma.01G221200::Gm01:56121954-56123954,1000
257,Glyma.01G221200::Gm01:56121954-56123954,1500
258,Glyma.01G221200::Gm01:56121954-56123954,1600
259,Glyma.01G221200::Gm01:56121954-56123954,1700
260,Glyma.01G221400::Gm01:56140569-56142569,0
261,Glyma.01G221400::Gm01:56140569-56142569,1600
262,Glyma.01G221400::Gm01:56140569-56142569,1700
263,Glyma.01G224800::Gm01:56447616-56449616,800
264,Glyma.01G224800::Gm01:56447616-56449616,1700
265,Glyma.01G227400::Gm01:56682510-56684510,900
266,Glyma.01G227400::Gm01:56682510-56684510,1100
267,Glyma.01G227400::Gm01:56682510-56684510,1200
268,Glyma.01G227400::Gm01:56682510-56684510,1300
269,Glyma.01G229200::Gm01:56795953-56797953,1400
270,Glyma.01G229200::Gm01:56795953-56797953,1500
271,Glyma.01G229800::Gm01:56843210-56845210,1000
272,Glyma.01G230900::Gm01:56908233-56910233,1700
273,Glyma.01G231900::Gm01:56967731-56969731,800
274,Glyma.01G231900::Gm01:56967731-56969731,900
275,Glyma.01G231900::Gm01:56967731-56969731,1000
276,Glyma.01G231900::Gm01:56967731-56969731,1100
277,Glyma.01G231900::Gm01:56967731-56969731,1200
278,Glyma.01G235600::Gm01:57233234-57235234,1200
279,Glyma.01G236100::Gm01:57251331-57253331,1200
280,Glyma.01G236500::Gm01:57293844-57295844,1100
281,Glyma.01G238000::Gm01:57359520-57361520,1500
282,Glyma.01G238600::Gm01:57394038-57396038,1300
283,Glyma.01G240300::Gm01:57519428-57521428,300
284,Glyma.01G240300::Gm01:57519428-57521428,400
285,Glyma.01G241500::Gm01:57642292-57644292,500
286,Glyma.01G241500::Gm01:57642292-57644292,600
287,Glyma.01G241500::Gm01:57642292-57644292,1400
288,Glyma.01G241500::Gm01:57642292-57644292,1500
289,Glyma.01G242200::Gm01:57676918-57678918,200
290,Glyma.01G242200::Gm01:57676918-57678918,1300
291,Glyma.01G242200::Gm01:57676918-57678918,1400
292,Glyma.01G242200::Gm01:57676918-57678918,1500
293,Glyma.01G242200::Gm01:57676918-57678918,1600
294,Glyma.01G242200::Gm01:57676918-57678918,1700
295,Glyma.01G242902::Gm01:57708763-57710763,0
296,Glyma.01G242902::Gm01:57708763-57710763,100
297,Glyma.01G242902::Gm01:57708763-57710763,1000
298,Glyma.01G242902::Gm01:57708763-57710763,1500
299,Glyma.01G245500::Gm01:57883917-57885917,1100
300,Glyma.02G000400::Gm02:39172-41172,0
301,Glyma.02G000400::Gm02:39172-41172,900
302,Glyma.02G000400::Gm02:39172-41172,1000
303,Glyma.02G000400::Gm02:39172-41172,1100
304,Glyma.02G000500::Gm02:55571-57571,1700
305,Glyma.02G000700::Gm02:73341-75341,0
306,Glyma.02G000700::Gm02:73341-75341,800
307,Glyma.02G000700::Gm02:73341-75341,900
308,Glyma.02G001000::Gm02:115629-117629,1500
309,Glyma.02G001000::Gm02:115629-117629,1600
310,Glyma.02G002900::Gm02:327495-329495,1200
311,Glyma.02G002900::Gm02:327495-329495,1300
312,Glyma.02G002900::Gm02:327495-329495,1400
313,Glyma.02G009751::Gm02:944647-946647,1700
314,Glyma.02G010900::Gm02:1022219-1024219,0
315,Glyma.02G010900::Gm02:1022219-1024219,100
316,Glyma.02G010900::Gm02:1022219-1024219,200
317,Glyma.02G010900::Gm02:1022219-1024219,300
318,Glyma.02G011900::Gm02:1090057-1092057,1500
319,Glyma.02G012400::Gm02:1117627-1119627,100
320,Glyma.02G012400::Gm02:1117627-1119627,300
321,Glyma.02G012400::Gm02:1117627-1119627,1300
322,Glyma.02G012400::Gm02:1117627-1119627,1400
323,Glyma.02G012400::Gm02:1117627-1119627,1500
324,Glyma.02G012400::Gm02:1117627-1119627,1600
325,Glyma.02G012400::Gm02:1117627-1119627,1700
326,Glyma.02G012700::Gm02:1130793-1132793,0
327,Glyma.02G012700::Gm02:1130793-1132793,1200
328,Glyma.02G013200::Gm02:1186259-1188259,200
329,Glyma.02G013200::Gm02:1186259-1188259,300
330,Glyma.02G013200::Gm02:1186259-1188259,1400
331,Glyma.02G013200::Gm02:1186259-1188259,1700
332,Glyma.02G013402::Gm02:1212654-1214654,1100
333,Glyma.02G013700::Gm02:1239356-1241356,500
334,Glyma.02G014000::Gm02:1269922-1271922,1200
335,Glyma.02G014000::Gm02:1269922-1271922,1300
336,Glyma.02G016100::Gm02:1433650-1435650,500
337,Glyma.02G016100::Gm02:1433650-1435650,600
338,Glyma.02G016100::Gm02:1433650-1435650,1700
339,Glyma.02G017500::Gm02:1532107-1534107,1400
340,Glyma.02G019400::Gm02:1705511-1707511,400
341,Glyma.02G021600::Gm02:1894470-1896470,100
342,Glyma.02G021600::Gm02:1894470-1896470,200
343,Glyma.02G021600::Gm02:1894470-1896470,1400
344,Glyma.02G021600::Gm02:1894470-1896470,1700
345,Glyma.02G022200::Gm02:1946729-1948729,700
346,Glyma.02G022200::Gm02:1946729-1948729,800
347,Glyma.02G024200::Gm02:2125006-2127006,1000
348,Glyma.02G024600::Gm02:2156852-2158852,900
349,Glyma.02G024600::Gm02:2156852-2158852,1000
350,Glyma.02G028400::Gm02:2558087-2560087,1400
351,Glyma.02G028400::Gm02:2558087-2560087,1500
352,Glyma.02G028400::Gm02:2558087-2560087,1600
353,Glyma.02G031100::Gm02:2863249-2865249,900
354,Glyma.02G032200::Gm02:2917340-2919340,700
355,Glyma.02G035200::Gm02:3243936-3245936,1500
356,Glyma.02G035200::Gm02:3243936-3245936,1600
357,Glyma.02G035200::Gm02:3243936-3245936,1700
358,Glyma.02G036000::Gm02:3302993-3304993,1400
359,Glyma.02G036000::Gm02:3302993-3304993,1500
360,Glyma.02G036000::Gm02:3302993-3304993,1600
361,Glyma.02G036000::Gm02:3302993-3304993,1700
362,Glyma.02G041900::Gm02:3932095-3934095,1700
363,Glyma.02G042500::Gm02:3975286-3977286,0
364,Glyma.02G042500::Gm02:3975286-3977286,100
365,Glyma.02G042500::Gm02:3975286-3977286,200
366,Glyma.02G042500::Gm02:3975286-3977286,900
367,Glyma.02G042500::Gm02:3975286-3977286,1000
368,Glyma.02G042500::Gm02:3975286-3977286,1100
369,Glyma.02G044500::Gm02:4109860-4111860,900
370,Glyma.02G047000::Gm02:4302957-4304957,400
371,Glyma.02G047000::Gm02:4302957-4304957,1200
372,Glyma.02G047000::Gm02:4302957-4304957,1300
373,Glyma.02G047600::Gm02:4356516-4358516,800
374,Glyma.02G048800::Gm02:4438613-4440613,1100
375,Glyma.02G048800::Gm02:4438613-4440613,1600
376,Glyma.02G048800::Gm02:4438613-4440613,1700
377,Glyma.02G049700::Gm02:4491427-4493427,700
378,Glyma.02G049700::Gm02:4491427-4493427,800
379,Glyma.02G052300::Gm02:4769279-4771279,1100
380,Glyma.02G052300::Gm02:4769279-4771279,1200
381,Glyma.02G052300::Gm02:4769279-4771279,1300
382,Glyma.02G053600::Gm02:4862327-4864327,1400
383,Glyma.02G053600::Gm02:4862327-4864327,1700
384,Glyma.02G054900::Gm02:4942465-4944465,0
385,Glyma.02G055500::Gm02:4977814-4979814,1400
386,Glyma.02G055500::Gm02:4977814-4979814,1700
387,Glyma.02G056700::Gm02:5069213-5071213,600
388,Glyma.02G057400::Gm02:5116188-5118188,1600
389,Glyma.02G058000::Gm02:5170160-5172160,1000
390,Glyma.02G058200::Gm02:5191854-5193854,1200
391,Glyma.02G060102::Gm02:5429812-5431812,1200
392,Glyma.02G060102::Gm02:5429812-5431812,1300
393,Glyma.02G060102::Gm02:5429812-5431812,1600
394,Glyma.02G061100::Gm02:5522748-5524748,600
395,Glyma.02G063900::Gm02:5699029-5701029,1400
396,Glyma.02G070600::Gm02:6187440-6189440,0
397,Glyma.02G072200::Gm02:6297774-6299774,900
398,Glyma.02G072500::Gm02:6322146-6324146,1100
399,Glyma.02G081400::Gm02:6998278-7000278,1400
400,Glyma.02G081400::Gm02:6998278-7000278,1500
401,Glyma.02G081400::Gm02:6998278-7000278,1600
402,Glyma.02G087000::Gm02:7514429-7516429,1300
403,Glyma.02G088700::Gm02:7757838-7759838,300
404,Glyma.02G088700::Gm02:7757838-7759838,500
405,Glyma.02G089500::Gm02:7817380-7819380,1500
406,Glyma.02G093100::Gm02:8221654-8223654,100
407,Glyma.02G093100::Gm02:8221654-8223654,200
408,Glyma.02G093100::Gm02:8221654-8223654,600
409,Glyma.02G094500::Gm02:8423532-8425532,1700
410,Glyma.02G095200::Gm02:8496403-8498403,1100
411,Glyma.02G095200::Gm02:8496403-8498403,1200
412,Glyma.02G097700::Gm02:8742698-8744698,1300
413,Glyma.02G099500::Gm02:9262008-9264008,1600
414,Glyma.02G099500::Gm02:9262008-9264008,1700
415,Glyma.02G100000::Gm02:9369173-9371173,0
416,Glyma.02G104300::Gm02:9839950-9841950,1700
417,Glyma.02G104500::Gm02:9863567-9865567,400
418,Glyma.02G105300::Gm02:9948647-9950647,1500
419,Glyma.02G106100::Gm02:10083099-10085099,600
420,Glyma.02G106100::Gm02:10083099-10085099,700
421,Glyma.02G106100::Gm02:10083099-10085099,1400
422,Glyma.02G106100::Gm02:10083099-10085099,1600
423,Glyma.02G107700::Gm02:10239578-10241578,1200
424,Glyma.02G110300::Gm02:10613310-10615310,200
425,Glyma.02G110300::Gm02:10613310-10615310,800
426,Glyma.02G110300::Gm02:10613310-10615310,1400
427,Glyma.02G114000::Gm02:11033125-11035125,1500
428,Glyma.02G116300::Gm02:11287716-11289716,800
429,Glyma.02G116300::Gm02:11287716-11289716,900
430,Glyma.02G116300::Gm02:11287716-11289716,1000
431,Glyma.02G116300::Gm02:11287716-11289716,1300
432,Glyma.02G116300::Gm02:11287716-11289716,1400
433,Glyma.02G116300::Gm02:11287716-11289716,1500
434,Glyma.02G116300::Gm02:11287716-11289716,1600
435,Glyma.02G121800::Gm02:11822190-11824190,100
436,Glyma.02G121800::Gm02:11822190-11824190,200
437,Glyma.02G121800::Gm02:11822190-11824190,1100
438,Glyma.02G121800::Gm02:11822190-11824190,1200
439,Glyma.02G121800::Gm02:11822190-11824190,1500
440,Glyma.02G121800::Gm02:11822190-11824190,1600
441,Glyma.02G124700::Gm02:12183045-12185045,1200
442,Glyma.02G124700::Gm02:12183045-12185045,1300
443,Glyma.02G128800::Gm02:12866887-12868887,300
444,Glyma.02G128800::Gm02:12866887-12868887,700
445,Glyma.02G128800::Gm02:12866887-12868887,800
446,Glyma.02G128800::Gm02:12866887-12868887,900
447,Glyma.02G128800::Gm02:12866887-12868887,1000
448,Glyma.02G128800::Gm02:12866887-12868887,1500
449,Glyma.02G128800::Gm02:12866887-12868887,1600
450,Glyma.02G128800::Gm02:12866887-12868887,1700
451,Glyma.02G131900::Gm02:14057013-14059013,1000
452,Glyma.02G133500::Gm02:14240069-14242069,100
453,Glyma.02G133600::Gm02:14256980-14258980,900
454,Glyma.02G133900::Gm02:14287365-14289365,1300
455,Glyma.02G133900::Gm02:14287365-14289365,1400
456,Glyma.02G134500::Gm02:14342477-14344477,400
457,Glyma.02G134700::Gm02:14372184-14374184,1500
458,Glyma.02G134700::Gm02:14372184-14374184,1600
459,Glyma.02G135800::Gm02:14499533-14501533,1000
460,Glyma.02G135800::Gm02:14499533-14501533,1200
461,Glyma.02G135800::Gm02:14499533-14501533,1300
462,Glyma.02G137500::Gm02:14654019-14656019,100
463,Glyma.02G137500::Gm02:14654019-14656019,1000
464,Glyma.02G137500::Gm02:14654019-14656019,1100
465,Glyma.02G141700::Gm02:15068700-15070700,1500
466,Glyma.02G141800::Gm02:15071629-15073629,1300
467,Glyma.02G143700::Gm02:15252810-15254810,1600
468,Glyma.02G143700::Gm02:15252810-15254810,1700
469,Glyma.02G147300::Gm02:15626251-15628251,1400
470,Glyma.02G148200::Gm02:15711037-15713037,1700
471,Glyma.02G148400::Gm02:15729058-15731058,0
472,Glyma.02G148400::Gm02:15729058-15731058,100
473,Glyma.02G148400::Gm02:15729058-15731058,200
474,Glyma.02G148400::Gm02:15729058-15731058,300
475,Glyma.02G148400::Gm02:15729058-15731058,400
476,Glyma.02G149200::Gm02:15771388-15773388,300
477,Glyma.02G149800::Gm02:15816859-15818859,100
478,Glyma.02G149900::Gm02:15842251-15844251,1700
479,Glyma.02G151200::Gm02:15991682-15993682,0
480,Glyma.02G155400::Gm02:16341972-16343972,700
481,Glyma.02G155600::Gm02:16346718-16348718,1300
482,Glyma.02G160500::Gm02:19097309-19099309,1100
483,Glyma.02G160500::Gm02:19097309-19099309,1200
484,Glyma.02G160500::Gm02:19097309-19099309,1300
485,Glyma.02G167600::Gm02:27672548-27674548,1200
486,Glyma.02G167600::Gm02:27672548-27674548,1600
487,Glyma.02G167600::Gm02:27672548-27674548,1700
488,Glyma.02G170500::Gm02:28484222-28486222,900
489,Glyma.02G170500::Gm02:28484222-28486222,1600
490,Glyma.02G170500::Gm02:28484222-28486222,1700
491,Glyma.02G172200::Gm02:29125961-29127961,1500
492,Glyma.02G172200::Gm02:29125961-29127961,1600
493,Glyma.02G173000::Gm02:29411998-29413998,1100
494,Glyma.02G173000::Gm02:29411998-29413998,1300
495,Glyma.02G173000::Gm02:29411998-29413998,1400
496,Glyma.02G173000::Gm02:29411998-29413998,1500
497,Glyma.02G173000::Gm02:29411998-29413998,1600
498,Glyma.02G173000::Gm02:29411998-29413998,1700
499,Glyma.02G174700::Gm02:29849275-29851275,1300
500,Glyma.02G174700::Gm02:29849275-29851275,1400
501,Glyma.02G174700::Gm02:29849275-29851275,1500
502,Glyma.02G174700::Gm02:29849275-29851275,1600
503,Glyma.02G179100::Gm02:32193042-32195042,900
504,Glyma.02G179100::Gm02:32193042-32195042,1000
505,Glyma.02G179100::Gm02:32193042-32195042,1700
